phase,regime,cell_id,method,gamma,theta,delta,landmark_interval,censoring_target,n,entry_sd,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_entry_x_correlation,mean_observed_censoring,mean_preentry_fraction_lm1,mean_preentry_fraction_lm2,mean_preentry_fraction_lm3,failed_replicates
confirmation,B,20,delayed,-4,0,0,4,0.3,750,0.25,1000,0.00122294253336963,0.125123075412102,0.122890364565112,0.982155882600899,0.933,0.00790638982089803,0.906,0.00922843432007835,1764.915,145.465,652.445,-0.997963602431838,0.299118666666667,0.14894558815157,0.020439333962312,0.00112046625736169,0
confirmation,B,20,naive,-4,0,0,4,0.3,750,0.25,1000,0.0161586750008721,0.121936952640423,0.119685413651785,0.981535220129067,0.934,0.00785136930732468,0.938,0.00762600813007697,1765.003,145.465,652.445,-0.997963602431838,0.299118666666667,0.14894558815157,0.020439333962312,0.00112046625736169,0
confirmation,B,20,strict,-4,0,0,4,0.3,750,0.25,1000,-0.000538966337571876,0.127138873750323,0.127010424075901,0.998989690008784,0.95,0.00689202437604511,0.893,0.00977501918156686,1655.234,141.538,646.067,-0.997963602431838,0.299118666666667,0.14894558815157,0.020439333962312,0.00112046625736169,0
confirmation,B,21,delayed,-4,0,0,6,0.3,750,0.25,1000,0.00352277345025209,0.110202940114366,0.110811267225408,1.00552006244489,0.953,0.00669260786241059,0.953,0.00669260786241059,1713.663,143.575,658.535,-0.997963229931506,0.302225333333333,0.147253783292933,0.00532290568574277,3.09714324158481e-05,0
confirmation,B,21,naive,-4,0,0,6,0.3,750,0.25,1000,0.0175120847995196,0.107458280803849,0.10817203696636,1.00664216993955,0.949,0.00695693898205238,0.974,0.00503229569878401,1713.764,143.575,658.535,-0.997963229931506,0.302225333333333,0.147253783292933,0.00532290568574277,3.09714324158481e-05,0
confirmation,B,21,strict,-4,0,0,6,0.3,750,0.25,1000,0.0033648400138615,0.112909225226481,0.115002427613135,1.01853880745755,0.959,0.00627048642451286,0.95,0.00689202437604511,1613.752,139.849,650.082,-0.997963229931506,0.302225333333333,0.147253783292933,0.00532290568574277,3.09714324158481e-05,0
confirmation,B,22,delayed,-4,0,0,2,0.5,750,0.25,1000,-0.00503432182994757,0.163835933371076,0.157383817346732,0.960618431551704,0.941,0.00745110730026082,0.712,0.0143197765345692,1600.025,114.125,586.291,-0.997973323147026,0.50154,0.166220737523752,0.0720485718605561,0.025234451437989,0
confirmation,B,22,naive,-4,0,0,2,0.5,750,0.25,1000,0.0195777409006334,0.156898903013538,0.150673765127265,0.960323891584275,0.935,0.0077958322198467,0.796,0.0127429980773757,1600.131,114.125,586.291,-0.997973323147026,0.50154,0.166220737523752,0.0720485718605561,0.025234451437989,0
confirmation,B,22,strict,-4,0,0,2,0.5,750,0.25,1000,-0.00700439267842678,0.171372265406784,0.166410202183369,0.97104512091477,0.943,0.00733150734842434,0.646,0.0151223014121528,1452.144,109.332,569.561,-0.997973323147026,0.50154,0.166220737523752,0.0720485718605561,0.025234451437989,0
confirmation,B,23,delayed,-4,0,0,4,0.5,750,0.25,1000,0.00476367451863048,0.143017999565904,0.13928912305493,0.973927222291651,0.941,0.00745110730026082,0.832,0.0118226900492231,1539.781,114.964,605.018,-0.997976134342249,0.497129333333333,0.160538599268419,0.0235663306021012,0.00138071172449107,0
confirmation,B,23,naive,-4,0,0,4,0.5,750,0.25,1000,0.0231821929028909,0.138636996125274,0.134973211398457,0.973572820897635,0.94,0.00750999334220744,0.885,0.0100883596287999,1539.864,114.964,605.018,-0.997976134342249,0.497129333333333,0.160538599268419,0.0235663306021012,0.00138071172449107,0
confirmation,B,23,strict,-4,0,0,4,0.5,750,0.25,1000,0.00476090281874957,0.149745474568544,0.144222120484655,0.96311505172491,0.941,0.00745110730026082,0.805,0.0125289664378192,1430.128,111.228,594.752,-0.997976134342249,0.497129333333333,0.160538599268419,0.0235663306021012,0.00138071172449107,0
confirmation,B,24,delayed,-4,0,0,6,0.5,750,0.25,1000,0.00442942252585827,0.128435642782864,0.123987408274146,0.965366043161099,0.944,0.00727076337120113,0.899,0.00952885092757778,1484.163,113.823,616.432,-0.997972104391339,0.498913333333333,0.157256028678391,0.00613639972803122,4.22584739463737e-05,0
confirmation,B,24,naive,-4,0,0,6,0.5,750,0.25,1000,0.0217819690426457,0.124896380611838,0.120461591103782,0.964492249604587,0.938,0.00762600813007697,0.938,0.00762600813007697,1484.279,113.823,616.432,-0.997972104391339,0.498913333333333,0.157256028678391,0.00613639972803122,4.22584739463737e-05,0
confirmation,B,24,strict,-4,0,0,6,0.5,750,0.25,1000,0.00377908263290739,0.136011798102722,0.129382906592282,0.95126237868399,0.944,0.00727076337120113,0.88,0.0102761860629321,1384.342,110.326,602.728,-0.997972104391339,0.498913333333333,0.157256028678391,0.00613639972803122,4.22584739463737e-05,0
confirmation,B,25,delayed,-4,0,0,2,0,1500,0.25,1000,0.0017364338806525,0.0842641363436926,0.0856940116105672,1.01696896602657,0.95,0.00689202437604511,0.998,0.00141279864099595,4158.683,387.104,1412.911,-0.997971577504066,0,0.137769828111958,0.0554418810981687,0.0179009424413003,0
confirmation,B,25,naive,-4,0,0,2,0,1500,0.25,1000,0.0166678090173829,0.0819183066553693,0.0832352351074946,1.01607611907392,0.949,0.00695693898205238,1,0,4158.882,387.104,1412.911,-0.997971577504066,0,0.137769828111958,0.0554418810981687,0.0179009424413003,0
confirmation,B,25,strict,-4,0,0,2,0,1500,0.25,1000,0.00129284987951253,0.0868618421065587,0.0891913085716413,1.02681806427988,0.959,0.00627048642451286,0.997,0.00172945077987204,3863.02,375.742,1387.569,-0.997971577504066,0,0.137769828111958,0.0554418810981687,0.0179009424413003,0
confirmation,B,26,delayed,-4,0,0,4,0,1500,0.25,1000,3.70118374343181e-06,0.0749054011326402,0.076655054145132,1.02335816891753,0.949,0.00695693898205238,1,0,4077.731,378.818,1412.357,-0.997964700672595,0,0.137553157507388,0.0178764594481201,0.000949514791175672,0
confirmation,B,26,naive,-4,0,0,4,0,1500,0.25,1000,0.0117430924531163,0.0732118148458908,0.0750039354255089,1.02447857061583,0.946,0.00714730718522718,1,0,4077.937,378.818,1412.357,-0.997964700672595,0,0.137553157507388,0.0178764594481201,0.000949514791175672,0
confirmation,B,26,strict,-4,0,0,4,0,1500,0.25,1000,0.000251671839451742,0.0773735783097269,0.0785833430894948,1.01563537329145,0.951,0.00682634602111555,1,0,3858.13,370.098,1408.549,-0.997964700672595,0,0.137553157507388,0.0178764594481201,0.000949514791175672,0
confirmation,B,27,delayed,-4,0,0,6,0,1500,0.25,1000,0.00319323987151132,0.0691956323450873,0.0687192218100054,0.993115020140202,0.948,0.00702111102319284,1,0,4001.547,371.264,1412.566,-0.997964819121301,0,0.137400630106074,0.00451684333020421,1.75424905788334e-05,0
confirmation,B,27,naive,-4,0,0,6,0,1500,0.25,1000,0.0143003532165573,0.0678205778459075,0.0673789392728143,0.993488133143061,0.946,0.00714730718522718,1,0,4001.746,371.264,1412.566,-0.997964819121301,0,0.137400630106074,0.00451684333020421,1.75424905788334e-05,0
confirmation,B,27,strict,-4,0,0,6,0,1500,0.25,1000,0.00232987982673652,0.0716000547833222,0.0709476892716305,0.990888756807995,0.945,0.00720936890441875,1,0,3801.617,363.366,1408.377,-0.997964819121301,0,0.137400630106074,0.00451684333020421,1.75424905788334e-05,0
confirmation,B,28,delayed,-4,0,0,2,0.15,1500,0.25,1000,-0.00186225037464175,0.091425561995879,0.0913409495996897,0.999074521453933,0.948,0.00702111102319284,0.992,0.00281709069786544,3900.451,341.401,1349.862,-0.99796939970799,0.153538,0.144343464190401,0.0591204545613446,0.0194492810551074,0
confirmation,B,28,naive,-4,0,0,2,0.15,1500,0.25,1000,0.0149924565130371,0.0885524975786789,0.0884617071411483,0.998974727534365,0.948,0.00702111102319284,0.998,0.00141279864099595,3900.634,341.401,1349.862,-0.99796939970799,0.153538,0.144343464190401,0.0591204545613446,0.0194492810551074,0
confirmation,B,28,strict,-4,0,0,2,0.15,1500,0.25,1000,-0.00331401741533702,0.0969376987950444,0.0954638241999892,0.984795651089558,0.944,0.00727076337120113,0.983,0.00408790900094413,3604.604,330.516,1322.613,-0.99796939970799,0.153538,0.144343464190401,0.0591204545613446,0.0194492810551074,0
confirmation,B,29,delayed,-4,0,0,4,0.15,1500,0.25,1000,0.0023921029851342,0.0788053839833891,0.0813040149362333,1.03170634830446,0.953,0.00669260786241059,0.999,0.000999499874937461,3809.846,336.342,1360.676,-0.99797617766322,0.152964,0.142918382169144,0.0194951887602989,0.00105629516504888,0
confirmation,B,29,naive,-4,0,0,4,0.15,1500,0.25,1000,0.0154756765072698,0.0768620159149405,0.0793748261237095,1.03269248378223,0.956,0.00648567652600714,0.999,0.000999499874937461,3810.066,336.342,1360.676,-0.99797617766322,0.152964,0.142918382169144,0.0194951887602989,0.00105629516504888,0
confirmation,B,29,strict,-4,0,0,4,0.15,1500,0.25,1000,0.0016831246974,0.0813154643213612,0.0836103056789809,1.02822146287637,0.948,0.00702111102319284,0.997,0.00172945077987204,3589.613,328.096,1352.889,-0.99797617766322,0.152964,0.142918382169144,0.0194951887602989,0.00105629516504888,0
confirmation,B,30,delayed,-4,0,0,6,0.15,1500,0.25,1000,0.00483569322543521,0.0726669186004154,0.0730577354360743,1.00537819468867,0.946,0.00714730718522718,1,0,3730.534,329.86,1368.645,-0.997971860644398,0.149668666666667,0.142063548619969,0.00497212314773956,2.05795387629706e-05,0
confirmation,B,30,naive,-4,0,0,6,0.15,1500,0.25,1000,0.0170722779978736,0.0711710112596164,0.0715037569534863,1.00467529810215,0.94,0.00750999334220744,1,0,3730.714,329.86,1368.645,-0.997971860644398,0.149668666666667,0.142063548619969,0.00497212314773956,2.05795387629706e-05,0
confirmation,B,30,strict,-4,0,0,6,0.15,1500,0.25,1000,0.00518274463406228,0.0750926970125872,0.0755560313989273,1.00617016573879,0.94,0.00750999334220744,1,0,3530.094,322.08,1358.673,-0.997971860644398,0.149668666666667,0.142063548619969,0.00497212314773956,2.05795387629706e-05,0
confirmation,B,31,delayed,-4,0,0,2,0.3,1500,0.25,1000,0.00177109966051852,0.0967130725480115,0.0979288183945057,1.01257064649549,0.947,0.00708456067798138,0.986,0.00371537346709587,3638.774,296.956,1285.139,-0.997967720007854,0.297658,0.151436397474408,0.0629212362391372,0.0211323821840644,0
confirmation,B,31,naive,-4,0,0,2,0.3,1500,0.25,1000,0.0208495660124189,0.0934267727001657,0.0944840823672334,1.0113169880165,0.945,0.00720936890441875,0.995,0.00223047080231955,3639.011,296.956,1285.139,-0.997967720007854,0.297658,0.151436397474408,0.0629212362391372,0.0211323821840644,0
confirmation,B,31,strict,-4,0,0,2,0.3,1500,0.25,1000,-4.85384033559875e-05,0.102522090566791,0.102581884274332,1.00058322754843,0.948,0.00702111102319284,0.976,0.00483983470792134,3343.966,286.738,1255.799,-0.997967720007854,0.297658,0.151436397474408,0.0629212362391372,0.0211323821840644,0
