entry_sd,replicate,outer_seed,bootstrap_seed,method,estimate,estimated_se,covered,reject_half,converged,error
4,707,710004707,810008707,naive,0.665898393704161,0.0314502405549722,1,1,1,""
4,707,710004707,910008707,strict,0.658493561482653,0.0324187695886427,1,1,1,""
4,708,710004708,810008708,naive,0.648100563214977,0.0310869915664011,1,1,1,""
4,708,710004708,910008708,strict,0.649427475132129,0.0285143738262305,1,1,1,""
4,709,710004709,810008709,naive,0.632637611844824,0.0274848913084825,1,1,1,""
4,709,710004709,910008709,strict,0.635951052283567,0.0318021308299516,1,1,1,""
4,710,710004710,810008710,naive,0.607175602603014,0.0338952890892742,1,1,1,""
4,710,710004710,910008710,strict,0.607272149027739,0.0358208381596734,1,1,1,""
4,711,710004711,810008711,naive,0.545321014120624,0.0337116263157325,0,0,1,""
4,711,710004711,910008711,strict,0.543839918056,0.0370022127640196,1,0,1,""
4,712,710004712,810008712,naive,0.589204671412934,0.0301825013914813,1,1,1,""
4,712,710004712,910008712,strict,0.587462952430279,0.0299560819591066,1,1,1,""
4,713,710004713,810008713,naive,0.63472096045312,0.0339782151163003,1,1,1,""
4,713,710004713,910008713,strict,0.627964988350194,0.0324145706366708,1,1,1,""
4,714,710004714,810008714,naive,0.616656588889262,0.03689120145687,1,1,1,""
4,714,710004714,910008714,strict,0.619884248797859,0.0303684690265006,1,1,1,""
4,715,710004715,810008715,naive,0.67932312333624,0.0288834538905106,0,1,1,""
4,715,710004715,910008715,strict,0.677789345810247,0.0306337819681965,0,1,1,""
4,716,710004716,810008716,naive,0.605728089773321,0.0351982116311862,1,1,1,""
4,716,710004716,910008716,strict,0.600602946600732,0.0341735754607052,1,1,1,""
4,717,710004717,810008717,naive,0.564190959567157,0.0296712939548944,1,1,1,""
4,717,710004717,910008717,strict,0.568986089329204,0.0330521258144971,1,1,1,""
4,718,710004718,810008718,naive,0.598596233574113,0.036505702131973,1,1,1,""
4,718,710004718,910008718,strict,0.591974545667276,0.0354078885042577,1,1,1,""
4,719,710004719,810008719,naive,0.624530549039416,0.0352893976102907,1,1,1,""
4,719,710004719,910008719,strict,0.633188241338274,0.0315660310097508,1,1,1,""
4,720,710004720,810008720,naive,0.602454856006299,0.0414523946105633,1,1,1,""
4,720,710004720,910008720,strict,0.590345152322969,0.0354788804813627,1,1,1,""
4,721,710004721,810008721,naive,0.602946062180199,0.0309381307686115,1,1,1,""
4,721,710004721,910008721,strict,0.607742906078994,0.031176231145721,1,1,1,""
4,722,710004722,810008722,naive,0.660628570713084,0.0321723477360715,1,1,1,""
4,722,710004722,910008722,strict,0.662209210068135,0.0295232611691515,1,1,1,""
4,723,710004723,810008723,naive,0.559687480000674,0.0365418821705298,1,0,1,""
4,723,710004723,910008723,strict,0.567256439597531,0.0382473159659833,1,0,1,""
4,724,710004724,810008724,naive,0.590838427503596,0.0279831275149845,1,1,1,""
4,724,710004724,910008724,strict,0.596226551414228,0.0315910247548248,1,1,1,""
4,725,710004725,810008725,naive,0.619695684226118,0.0341521098740083,1,1,1,""
4,725,710004725,910008725,strict,0.620725098201785,0.0325232370369971,1,1,1,""
4,726,710004726,810008726,naive,0.615286151093596,0.0368218933483574,1,1,1,""
4,726,710004726,910008726,strict,0.629223098875472,0.0342506585129266,1,1,1,""
4,727,710004727,810008727,naive,0.515243315342223,0.0401343242256931,0,0,1,""
4,727,710004727,910008727,strict,0.514909321110224,0.0430410577242785,0,0,1,""
4,728,710004728,810008728,naive,0.635911102928312,0.0318975515777045,1,1,1,""
4,728,710004728,910008728,strict,0.631380056467279,0.0355516062786074,1,1,1,""
4,729,710004729,810008729,naive,0.616211068428486,0.0266961962396564,1,1,1,""
4,729,710004729,910008729,strict,0.62052093514193,0.0360134617468885,1,1,1,""
4,730,710004730,810008730,naive,0.700345700467568,0.0306928536350265,0,1,1,""
4,730,710004730,910008730,strict,0.695937303774168,0.029874585331784,0,1,1,""
4,731,710004731,810008731,naive,0.616049575388775,0.0303393104658479,1,1,1,""
4,731,710004731,910008731,strict,0.609670933292193,0.037207680562246,1,1,1,""
4,732,710004732,810008732,naive,0.619776566503595,0.032026007736618,1,1,1,""
4,732,710004732,910008732,strict,0.62320160891545,0.0317541348396674,1,1,1,""
4,733,710004733,810008733,naive,0.588317737466297,0.0297357817156085,1,1,1,""
