cell_id,method,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_observed_entry_sd,mean_observed_censoring,landmark_interval,censoring_target,entry_sd,n,study_end,censor_rate,failed_replicates
27,delayed,1000,-0.000413663081966053,0.0702919919327685,0.0673099747662926,0.957576715576248,0.94,0.00750999334220744,1,0,4039.198,375.761,1426.967,0.250034907386595,0,6,0,0.25,1500,72,0,0
27,naive,1000,-0.000413663081966053,0.0702919919327685,0.0673099747662926,0.957576715576248,0.94,0.00750999334220744,1,0,4039.198,375.761,1426.967,0.250034907386595,0,6,0,0.25,1500,72,0,0
27,strict,1000,-0.000413663081966053,0.0702919919327685,0.0673099747662926,0.957576715576248,0.94,0.00750999334220744,1,0,4039.198,375.761,1426.967,0.250034907386595,0,6,0,0.25,1500,72,0,0
28,delayed,1000,-3.62869335256596e-05,0.088611176574788,0.0877707236847913,0.99051527219834,0.947,0.00708456067798138,0.992,0.00281709069786544,3931.807,350.614,1361.7,0.249897494791787,0.149400666666667,2,0.15,0.25,1500,64,0.00935455505368637,0
28,naive,1000,-3.62869335256596e-05,0.088611176574788,0.0877707236847913,0.99051527219834,0.947,0.00708456067798138,0.992,0.00281709069786544,3931.807,350.614,1361.7,0.249897494791787,0.149400666666667,2,0.15,0.25,1500,64,0.00935455505368637,0
28,strict,1000,-3.62869335256596e-05,0.088611176574788,0.0877707236847913,0.99051527219834,0.947,0.00708456067798138,0.992,0.00281709069786544,3931.807,350.614,1361.7,0.249897494791787,0.149400666666667,2,0.15,0.25,1500,64,0.00935455505368637,0
29,delayed,1000,-0.00660196272196856,0.0785543664757167,0.0789022741031408,1.00442887700624,0.955,0.00655553201502365,0.997,0.00172945077987204,3838.536,344.434,1371.521,0.249983555741969,0.149716,4,0.15,0.25,1500,68,0.00794420961865639,0
29,naive,1000,-0.00660196272196856,0.0785543664757167,0.0789022741031408,1.00442887700624,0.955,0.00655553201502365,0.997,0.00172945077987204,3838.536,344.434,1371.521,0.249983555741969,0.149716,4,0.15,0.25,1500,68,0.00794420961865639,0
29,strict,1000,-0.00660196272196856,0.0785543664757167,0.0789022741031408,1.00442887700624,0.955,0.00655553201502365,0.997,0.00172945077987204,3838.536,344.434,1371.521,0.249983555741969,0.149716,4,0.15,0.25,1500,68,0.00794420961865639,0
30,delayed,1000,0.00133165320028741,0.0709469886387023,0.0708490191708111,0.998619117318846,0.95,0.00689202437604511,1,0,3751.31,338.152,1378.172,0.250108738028081,0.148949333333333,6,0.15,0.25,1500,72,0.00685367368634159,0
30,naive,1000,0.00133165320028741,0.0709469886387023,0.0708490191708111,0.998619117318846,0.95,0.00689202437604511,1,0,3751.31,338.152,1378.172,0.250108738028081,0.148949333333333,6,0.15,0.25,1500,72,0.00685367368634159,0
30,strict,1000,0.00133165320028741,0.0709469886387023,0.0708490191708111,0.998619117318846,0.95,0.00689202437604511,1,0,3751.31,338.152,1378.172,0.250108738028081,0.148949333333333,6,0.15,0.25,1500,72,0.00685367368634159,0
31,delayed,1000,0.0101336707841446,0.0943183532158395,0.0937966624588756,0.994468830941418,0.952,0.00675988165576884,0.994,0.00244213021765835,3629.342,307.715,1285.115,0.249883865953474,0.301073333333333,2,0.3,0.25,1500,64,0.0209386595416534,0
31,naive,1000,0.0101336707841446,0.0943183532158395,0.0937966624588756,0.994468830941418,0.952,0.00675988165576884,0.994,0.00244213021765835,3629.342,307.715,1285.115,0.249883865953474,0.301073333333333,2,0.3,0.25,1500,64,0.0209386595416534,0
31,strict,1000,0.0101336707841446,0.0943183532158395,0.0937966624588756,0.994468830941418,0.952,0.00675988165576884,0.994,0.00244213021765835,3629.342,307.715,1285.115,0.249883865953474,0.301073333333333,2,0.3,0.25,1500,64,0.0209386595416534,0
32,delayed,1000,0.000559341149490878,0.0878340651039316,0.084062719811147,0.957062840159771,0.939,0.00756828910652864,0.998,0.00141279864099595,3522.264,303.732,1305.939,0.249904376496042,0.301866666666667,4,0.3,0.25,1500,68,0.017730565301616,0
32,naive,1000,0.000559341149490878,0.0878340651039316,0.084062719811147,0.957062840159771,0.939,0.00756828910652864,0.998,0.00141279864099595,3522.264,303.732,1305.939,0.249904376496042,0.301866666666667,4,0.3,0.25,1500,68,0.017730565301616,0
32,strict,1000,0.000559341149490878,0.0878340651039316,0.084062719811147,0.957062840159771,0.939,0.00756828910652864,0.998,0.00141279864099595,3522.264,303.732,1305.939,0.249904376496042,0.301866666666667,4,0.3,0.25,1500,68,0.017730565301616,0
33,delayed,1000,0.00208505677710575,0.0744943856272745,0.0751842958514714,1.00926123785555,0.954,0.00662449998113065,1,0,3431.121,297.576,1321.398,0.250209495139172,0.301494666666667,6,0.3,0.25,1500,72,0.0153983821527663,0
33,naive,1000,0.00208505677710575,0.0744943856272745,0.0751842958514714,1.00926123785555,0.954,0.00662449998113065,1,0,3431.121,297.576,1321.398,0.250209495139172,0.301494666666667,6,0.3,0.25,1500,72,0.0153983821527663,0
33,strict,1000,0.00208505677710575,0.0744943856272745,0.0751842958514714,1.00926123785555,0.954,0.00662449998113065,1,0,3431.121,297.576,1321.398,0.250209495139172,0.301494666666667,6,0.3,0.25,1500,72,0.0153983821527663,0
34,delayed,1000,0.00218778878594578,0.102118893197387,0.104916432052402,1.02739491946518,0.953,0.00669260786241059,0.976,0.00483983470792134,3161.728,243.769,1162.631,0.249877987908229,0.497866666666667,2,0.5,0.25,1500,64,0.040899845313492,0
34,naive,1000,0.00218778878594578,0.102118893197387,0.104916432052402,1.02739491946518,0.953,0.00669260786241059,0.976,0.00483983470792134,3161.728,243.769,1162.631,0.249877987908229,0.497866666666667,2,0.5,0.25,1500,64,0.040899845313492,0
