auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,method,strict_target_summary_auc,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power_against_half,power_mcse,mean_rows,mean_events,mean_subjects,failed_replicates
20,frailty,C,0,0.5,-2,4,naive,0.663593930137789,1000,0.00478136376513999,0.034400573311927,0.0328196077926463,0.954042465951213,0.917,0.00872416185085994,0.997,0.00172945077987204,1761.11,141.834,649.313,0
20,frailty,C,0,0.5,-2,4,strict,0.663593930137789,1000,0.00117401671837201,0.0346822608372491,0.0331965612147839,0.957162549770415,0.922,0.00848033018225116,0.995,0.00223047080231955,1633.108,135.533,641.311,0
21,frailty,C,0,0.5,-2,10,delayed,0.664289972488506,1000,0.0181591318650809,0.0334326421665045,0.0330577633082102,0.988787040628518,0.888,0.00997276290703835,1,0,1668.377,125.724,623.981,0
21,frailty,C,0,0.5,-2,10,naive,0.664289972488506,1000,0.00712205367849812,0.0349038597053671,0.0346668045484155,0.993208339737994,0.934,0.00785136930732468,0.998,0.00141279864099595,1724.193,125.724,623.981,0
21,frailty,C,0,0.5,-2,10,strict,0.664289972488506,1000,3.11666910163196e-05,0.037627723397361,0.036729346699212,0.976124606618853,0.943,0.00733150734842434,0.987,0.00358203852575597,1310.404,108.865,551.068,0
22,frailty,C,0,0.5,0,0.25,delayed,0.664956210136296,1000,0.0019847023135135,0.0334020804792928,0.0325297039340952,0.97388256861011,0.924,0.00837997613361756,0.998,0.00141279864099595,1767.206,145.871,653.825,0
22,frailty,C,0,0.5,0,0.25,naive,0.664956210136296,1000,0.0019847023135135,0.0334020804792928,0.0326071766976556,0.976201967954362,0.933,0.00790638982089803,0.998,0.00141279864099595,1767.206,145.871,653.825,0
22,frailty,C,0,0.5,0,0.25,strict,0.664956210136296,1000,0.0019847023135135,0.0334020804792928,0.0326179007182315,0.976523026416053,0.926,0.00827792244467173,0.998,0.00141279864099595,1767.206,145.871,653.825,0
23,frailty,C,0,0.5,0,4,delayed,0.664956210136296,1000,0.0021285089489165,0.0317987796405146,0.0327075427996102,1.02857855456622,0.946,0.00714730718522718,0.998,0.00141279864099595,1766.879,143.94,651.604,0
23,frailty,C,0,0.5,0,4,naive,0.664956210136296,1000,0.00145736473378088,0.0319228475257947,0.0327123010318229,1.02473004657214,0.948,0.00702111102319284,0.995,0.00223047080231955,1766.953,143.94,651.604,0
23,frailty,C,0,0.5,0,4,strict,0.664956210136296,1000,0.00146674065030401,0.032036117158613,0.0329567722075607,1.02873803477461,0.955,0.00655553201502365,0.997,0.00172945077987204,1684.542,138.269,646.29,0
24,frailty,C,0,0.5,0,10,delayed,0.664956210136313,1000,0.0138212877983197,0.0336255529365251,0.0330869182861497,0.983981389052777,0.905,0.00927227048785787,0.997,0.00172945077987204,1681.132,127.948,625.689,0
24,frailty,C,0,0.5,0,10,naive,0.664956210136313,1000,3.00351362435396e-05,0.035467890369867,0.0344584487190232,0.971539281295923,0.945,0.00720936890441875,0.992,0.00281709069786544,1728.69,127.948,625.689,0
24,frailty,C,0,0.5,0,10,strict,0.664956210136313,1000,-0.000399573191641798,0.0373058559856855,0.0363638288922915,0.974748546347377,0.944,0.00727076337120113,0.99,0.00314642654451046,1348.194,110.615,560.755,0
