landmark_index,landmark,naive_rows,strict_rows,preentry_rows,preentry_fraction,naive_minus_strict_mean_x,preentry_vs_strict_p,riskset_shift_detected,diagnostic_cell_id,phase,regime,replicate,seed,gamma,theta,delta,entry_sd,entry_x_correlation,entry_x_p,entry_x_detected,entry_u_correlation_oracle,structural_difference_detected,any_riskset_shift_detected,combined_observed_diagnostic
2,54,581,450,131,0.225473321858864,-0.0329392072144971,0.148868147992712,0,15,frailty,C,692,1600006692,0,0,-2,10,-0.104006424845235,0.00435383159524555,1,-0.208096132834013,1,0,1
3,58,535,470,65,0.121495327102804,-0.0276283153181274,0.105053835462724,0,15,frailty,C,692,1600006692,0,0,-2,10,-0.104006424845235,0.00435383159524555,1,-0.208096132834013,1,0,1
1,50,630,416,214,0.33968253968254,0.0103280199406272,0.711381702171803,0,15,frailty,C,693,1600006693,0,0,-2,10,0.0286871213409828,0.432758371995254,0,-0.161064824437788,1,0,0
2,54,581,451,130,0.223752151462995,0.0257261422040268,0.242600327441531,0,15,frailty,C,693,1600006693,0,0,-2,10,0.0286871213409828,0.432758371995254,0,-0.161064824437788,1,0,0
3,58,520,447,73,0.140384615384615,0.0199116468696288,0.248646466627626,0,15,frailty,C,693,1600006693,0,0,-2,10,0.0286871213409828,0.432758371995254,0,-0.161064824437788,1,0,0
1,50,629,433,196,0.311605723370429,-0.0245854367535513,0.331592999364405,0,15,frailty,C,694,1600006694,0,0,-2,10,-0.039089272999516,0.285012486266903,0,-0.1361710902977,1,0,0
2,54,577,455,122,0.211438474870017,-0.0176085312374112,0.413896678038647,0,15,frailty,C,694,1600006694,0,0,-2,10,-0.039089272999516,0.285012486266903,0,-0.1361710902977,1,0,0
3,58,529,472,57,0.107750472589792,-0.0170593271817013,0.276768871294656,0,15,frailty,C,694,1600006694,0,0,-2,10,-0.039089272999516,0.285012486266903,0,-0.1361710902977,1,0,0
1,50,635,402,233,0.366929133858268,0.0296084607445489,0.277132119287519,0,15,frailty,C,695,1600006695,0,0,-2,10,0.00179104895088588,0.96094470017946,0,-0.129051706443739,1,0,0
2,54,586,456,130,0.221843003412969,0.0163216922710093,0.392307851916369,0,15,frailty,C,695,1600006695,0,0,-2,10,0.00179104895088588,0.96094470017946,0,-0.129051706443739,1,0,0
3,58,535,471,64,0.119626168224299,-0.00229031283480935,0.877068000060421,0,15,frailty,C,695,1600006695,0,0,-2,10,0.00179104895088588,0.96094470017946,0,-0.129051706443739,1,0,0
1,50,612,407,205,0.334967320261438,-0.0270491062149459,0.33985407912959,0,15,frailty,C,696,1600006696,0,0,-2,10,-0.0480956245119187,0.188268892531994,0,-0.160155631969975,1,0,0
2,54,561,449,112,0.199643493761141,-0.0287764754816235,0.152898657172195,0,15,frailty,C,696,1600006696,0,0,-2,10,-0.0480956245119187,0.188268892531994,0,-0.160155631969975,1,0,0
3,58,509,448,61,0.119842829076621,-0.0233588501760894,0.160027548246288,0,15,frailty,C,696,1600006696,0,0,-2,10,-0.0480956245119187,0.188268892531994,0,-0.160155631969975,1,0,0
1,50,612,405,207,0.338235294117647,-0.0211711210871258,0.430945718349418,0,15,frailty,C,697,1600006697,0,0,-2,10,-0.0117930899160366,0.747119696303404,0,-0.152651467299695,1,0,0
2,54,560,451,109,0.194642857142857,0.00189088617247002,0.920121889658687,0,15,frailty,C,697,1600006697,0,0,-2,10,-0.0117930899160366,0.747119696303404,0,-0.152651467299695,1,0,0
3,58,515,463,52,0.100970873786408,0.0045860587439728,0.7501676879142,0,15,frailty,C,697,1600006697,0,0,-2,10,-0.0117930899160366,0.747119696303404,0,-0.152651467299695,1,0,0
1,50,621,399,222,0.357487922705314,-0.0157231963110106,0.593075712666865,0,15,frailty,C,698,1600006698,0,0,-2,10,-0.0640732572150433,0.0795001352747081,0,-0.207264494952932,1,0,0
