auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicate,outer_seed,bootstrap_seed,method,strict_target_summary_auc,rows,events,subjects,estimate,estimated_se,covered,reject_half,converged,error
1,focused,B,-4,0,0,0.25,30,1200002030,1800008030,delayed,0.606017101990918,1765,127,657,0.549750656364798,0.0341470062141265,1,0,1,""
1,focused,B,-4,0,0,0.25,31,1200002031,1800006031,naive,0.606017101990918,1731,160,648,0.664868069156689,0.026608707082342,0,1,1,""
1,focused,B,-4,0,0,0.25,31,1200002031,1800007031,strict,0.606017101990918,1615,156,635,0.652691268868467,0.0284247622048031,1,1,1,""
1,focused,B,-4,0,0,0.25,31,1200002031,1800008031,delayed,0.606017101990918,1731,160,648,0.664499105207244,0.0249601208994165,0,1,1,""
1,focused,B,-4,0,0,0.25,32,1200002032,1800006032,naive,0.606017101990918,1786,159,661,0.666112639499025,0.0307271695214026,1,1,1,""
1,focused,B,-4,0,0,0.25,32,1200002032,1800007032,strict,0.606017101990918,1683,155,657,0.65861285414501,0.0304690240632444,1,1,1,""
1,focused,B,-4,0,0,0.25,32,1200002032,1800008032,delayed,0.606017101990918,1786,159,661,0.665694359585825,0.0353471171289012,1,1,1,""
1,focused,B,-4,0,0,0.25,33,1200002033,1800006033,naive,0.606017101990918,1729,123,639,0.554611247465053,0.0354237199099903,1,0,1,""
1,focused,B,-4,0,0,0.25,33,1200002033,1800007033,strict,0.606017101990918,1622,118,634,0.55547964862067,0.0360627585569055,1,0,1,""
1,focused,B,-4,0,0,0.25,33,1200002033,1800008033,delayed,0.606017101990918,1729,123,639,0.554458291847674,0.0343638161114267,1,0,1,""
1,focused,B,-4,0,0,0.25,34,1200002034,1800006034,naive,0.606017101990918,1732,145,633,0.634102104293028,0.0336818599937133,1,1,1,""
1,focused,B,-4,0,0,0.25,34,1200002034,1800007034,strict,0.606017101990918,1631,143,628,0.619772808604334,0.0376194434588435,1,1,1,""
1,focused,B,-4,0,0,0.25,34,1200002034,1800008034,delayed,0.606017101990918,1732,145,633,0.633627363345414,0.0291697129503019,1,1,1,""
1,focused,B,-4,0,0,0.25,35,1200002035,1800006035,naive,0.606017101990918,1743,183,644,0.642868771640776,0.0263226081938291,1,1,1,""
1,focused,B,-4,0,0,0.25,35,1200002035,1800007035,strict,0.606017101990918,1638,176,635,0.64389326626586,0.030596247552298,1,1,1,""
1,focused,B,-4,0,0,0.25,35,1200002035,1800008035,delayed,0.606017101990918,1743,183,644,0.642591219799838,0.027834735274746,1,1,1,""
1,focused,B,-4,0,0,0.25,36,1200002036,1800006036,naive,0.606017101990918,1720,142,642,0.572105398580794,0.0334058688005728,1,1,1,""
1,focused,B,-4,0,0,0.25,36,1200002036,1800007036,strict,0.606017101990918,1608,138,637,0.555543576849124,0.0364129368873779,1,0,1,""
1,focused,B,-4,0,0,0.25,36,1200002036,1800008036,delayed,0.606017101990918,1720,142,642,0.571485736687577,0.0297865260666378,1,1,1,""
1,focused,B,-4,0,0,0.25,37,1200002037,1800006037,naive,0.606017101990918,1762,135,656,0.607586973222796,0.0331804650113785,1,1,1,""
